address,lat,lng
5141 JOHN HAGAR RD,36.1562066,-86.5787209
BERRY ST / 15TH ST,36.2553898,-86.65029589999999
766 AIRWAYS CIR,36.1515679,-86.6826208
3 UNIVERSITY CT,36.1512439,-86.7647925
1930 AIR LANE DR,36.148303,-86.69814509999999
2621 LAKEVILLA DR,36.078426,-86.6410439
4559 BROOKE VALLEY DR,36.1776463,-86.5868662
117 LAKEBRINK DR,36.150227,-86.63323
4050 LEBANON PIKE,36.1983096,-86.6209124
HERMITAGE AVE / FAIRFIELD AVE,36.1538265,-86.75609109999999
BELL RD / BLACKWOOD DR,36.1522017,-86.62497350000001
213 BELINDA DR,36.2039969,-86.6115576
INDUSTRIAL DR / OLD HICKORY BLVD,36.2665046,-86.6562912
1403 TARRYWOOD LN,36.0913532,-86.64758359999999
2946 BRANTLEY DR,36.0745983,-86.6181751
1400 DODSON ST,36.2564359,-86.64851999999999
200 TYLER DR,36.2001914,-86.616549
3578 ALBEE DR,36.178185,-86.610915
